model,feature_type,test_accuracy,active_precision,active_recall,active_f1,abandoned_precision,abandoned_recall,abandoned_f1
logistic_regression,local_crop_handcrafted,0.5,0.5454545454545454,0.75,0.631578947368421,0.3333333333333333,0.16666666666666666,0.2222222222222222
svm_rbf,local_crop_handcrafted,0.7142857142857143,0.8333333333333334,0.625,0.7142857142857143,0.625,0.8333333333333334,0.7142857142857143
random_forest,local_crop_handcrafted,0.6428571428571429,0.7142857142857143,0.625,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.6153846153846154
